1,87,3.5,881251955
1,180,3.5,881251728
1,290,4.0,881250949
1,364,3.5,881252172
1,366,3.5,881251955
1,432,4.0,881251793
1,650,4.0,881251702
1,673,4.0,881251601
1,752,3.5,881251045
2,49,3.5,891719775
2,341,3.5,879024459
2,365,4.0,879023073
2,400,3.5,879023556
2,465,3.0,879024345
2,528,3.0,879023882
2,560,3.5,879023751
2,573,2.5,879024212
2,578,3.5,891719774
2,669,2.5,879024099
3,83,3.5,878887810
3,103,4.0,878887680
3,148,3.0,878887925
3,289,4.0,878886682
3,304,3.5,878886845
3,312,4.0,878887765
3,348,4.0,878886479
3,404,3.5,878887925
3,469,3.0,878887377
3,996,2.0,878887598
4,13,3.5,880604379
4,228,3.5,880606947
4,297,3.0,880607269
4,318,4.0,880605869
4,329,3.0,880607489
4,436,3.5,880604004
4,450,4.0,880606243
4,733,3.5,880601937
4,775,2.5,880605333
4,1019,3.5,880607878
5,52,3.5,886397723
5,96,4.0,886397596
5,158,4.0,886397562
5,176,3.5,886397751
5,262,4.0,886397665
5,266,3.5,886397802
5,290,3.5,886397562
5,326,4.0,886397478
5,669,3.5,886397827
5,986,2.5,886397905
6,104,4.0,884183952
6,157,4.5,884182685
6,162,4.5,884124993
6,175,5.0,884125441
6,276,4.5,884127690
6,360,4.5,884183063
6,507,4.5,884182966
6,696,4.0,884183833
6,936,4.0,884125629
6,1003,3.0,884126805
7,50,5.0,881171982
7,139,4.0,881171558
7,146,4.5,881172117
7,161,4.0,881171558
7,355,4.0,881171558
7,409,4.5,881171273
7,525,4.0,881172303
7,731,4.5,881171137
7,817,4.0,881172183
7,1124,4.0,881171982
8,69,4.0,891628019
8,167,4.5,891628252
8,175,4.5,891628122
8,190,5.0,891628060
8,257,4.5,891628341
8,348,4.0,891628598
8,477,4.0,891628578
8,483,4.5,891628278
8,695,4.5,891628451
8,730,4.5,891628341
9,32,4.0,886322560
9,67,4.0,886323090
9,181,4.5,886323189
9,185,3.5,886308111
9,201,4.5,886322560
9,278,4.5,886322893
9,326,4.0,886308168
9,493,4.0,886323966
9,681,3.5,886307860
9,691,3.5,886323839
10,112,4.0,883602174
10,126,4.5,883601053
10,134,4.0,883599249
10,180,4.0,883602690
10,228,3.5,883602174
10,360,4.0,883600914
10,688,4.0,883602283
10,692,2.5,883268430
10,747,3.5,883602690
10,983,4.0,883601365
11,53,4.0,879372418
11,94,3.5,879373849
11,241,4.0,879374706
11,243,3.5,879372277
11,298,4.5,879373613
11,433,3.5,879372634
11,666,3.5,879372480
11,668,3.0,879375738
11,845,3.5,879375196
11,896,3.0,879375762
